t_ms,pwm_heater,temp_C
67001,220,75.25
67101,220,75.42
67201,220,75.42
67301,220,75.42
67401,220,75.58
67501,220,75.58
67601,220,75.74
67701,220,75.74
67801,220,75.90
67901,220,75.90
68001,220,76.06
68101,220,76.06
68201,220,76.06
68301,220,76.22
68401,220,76.22
68501,220,76.38
68601,220,76.38
68701,220,76.54
68801,220,76.54
68901,220,76.70
69001,220,76.70
69101,220,76.86
69201,220,76.86
69301,220,77.01
69401,220,77.01
69501,220,77.17
69601,220,77.17
69701,220,77.33
69801,220,77.33
69901,220,77.33
70001,220,77.49
70101,220,77.49
70201,220,77.49
70301,220,77.65
70401,220,77.65
70501,220,77.80
70601,220,77.80
70701,220,77.96
70801,220,77.96
70901,220,78.12
71001,220,78.12
71101,220,78.27
71201,220,78.27
71301,220,78.43
71401,220,78.43
71501,220,78.58
71601,220,78.58
71701,220,78.74
71801,220,78.90
71901,220,78.90
72001,220,78.90
72101,220,79.05
72201,220,79.05
72301,220,79.21
72401,220,79.21
72501,220,79.36
72601,220,79.36
72701,220,79.36
72801,220,79.51
72901,220,79.51
73001,220,79.67
73101,220,79.67
73201,220,79.67
73301,220,79.82
73401,220,79.82
73501,220,79.98
73601,220,79.98
73701,220,80.13
73801,220,80.13
73901,220,80.28
74001,220,80.28
74101,220,80.44
74201,220,80.44
74301,220,80.59
74401,220,80.59
74501,220,80.74
74601,220,80.74
74701,220,80.89
74801,220,80.89
74901,220,81.04
75001,220,81.04
75101,220,81.04
75201,220,81.20
75301,220,81.20
75401,220,81.35
75501,220,81.35
75601,220,81.50
75701,220,81.50
75801,220,81.50
75901,220,81.65
76001,220,81.65
76101,220,81.80
76201,220,81.80
76301,220,81.95
76401,220,81.95
76501,220,82.10
76601,220,82.10
76701,220,82.25
76801,220,82.25
76901,220,82.40
77001,220,82.40
77101,220,82.55
77201,220,82.55
77301,220,82.70
77401,220,82.70
77501,220,82.70
77601,220,82.85
77701,220,82.85
77801,220,83.00
77901,220,83.00
78001,220,83.15
78101,220,83.15
78201,220,83.30
78301,220,83.30
78401,220,83.30
78501,220,83.45
78601,220,83.45
78701,220,83.60
78801,220,83.60
78901,220,83.75
79001,220,83.75
79101,220,83.89
79201,220,83.89
79301,220,84.04
79401,220,84.04
79501,220,84.19
79601,220,84.19
79701,220,84.34
79801,220,84.34
79901,220,84.49
80001,220,84.49
80101,220,84.63
80201,220,84.63
80301,220,84.78
80401,220,84.78
80501,220,84.78
80601,220,84.93
80701,220,84.93
80801,220,85.07
80901,220,85.07
81001,220,85.22
81101,220,85.22
81201,220,85.37
81301,220,85.37
81401,220,85.51
81501,220,85.51
81601,220,85.66
81701,220,85.66
81801,220,85.81
81901,220,85.81
82001,220,85.95
82101,220,85.95
82201,220,86.10
82301,220,86.10
82401,220,86.24
82501,220,86.24
82601,220,86.39
82701,220,86.39
82801,220,86.39
82901,220,86.53
83001,220,86.68
83101,220,86.68
83201,220,86.68
83301,220,86.83
83401,220,86.83
83501,220,86.97
83601,220,86.97
83701,220,87.11
83801,220,87.11
83901,220,87.26
84001,220,87.26
84101,220,87.40
84201,220,87.40
84301,220,87.40
84401,220,87.55
84501,220,87.69
84601,220,87.69
84701,220,87.84
84801,220,87.84
84901,220,87.98
85001,220,87.98
85101,220,88.12
85201,220,88.12
85301,220,88.27
85401,220,88.27
85501,220,88.41
85601,220,88.41
85701,220,88.56
85801,220,88.56
85901,220,88.56
86001,220,88.70
86101,220,88.70
86201,220,88.84
86301,220,88.84
86401,220,88.99
86501,220,88.99
86601,220,89.13
86701,220,89.13
86801,220,89.27
86901,220,89.27
87001,220,89.41
87101,220,89.41
87201,220,89.41
87301,220,89.56
87401,220,89.70
87501,220,89.70
87601,220,89.84
87701,220,89.84
87801,220,89.84
87901,220,89.98
88001,220,89.98
88101,220,90.13
88201,220,90.13
88301,220,90.27
88401,220,90.27
88501,220,90.41
88601,220,90.41
88701,220,90.55
88801,220,90.55
88901,220,90.55
89001,220,90.69
89101,220,90.69
89201,220,90.84
89301,220,90.98
89401,220,90.98
89501,220,90.98
89601,220,91.12
89701,220,91.26
89801,220,91.26
89901,220,91.40
90001,220,91.40
90101,220,91.54
90201,220,91.54
90301,220,91.68
90401,220,91.68
90501,220,91.68
90601,220,91.83
90701,220,91.83
90801,220,91.97
90901,220,91.97
91001,220,92.11
91101,220,92.11
91201,220,92.11
91301,220,92.25
91401,220,92.25
91501,220,92.39
91601,220,92.39
91701,220,92.53
91801,220,92.53
91901,220,92.53
92001,220,92.67
92101,220,92.67
92201,220,92.81
92301,220,92.81
92401,220,92.95
92501,220,92.95
92601,220,93.09
92701,220,93.09
92801,220,93.23
92901,220,93.23
93001,220,93.23
93101,220,93.37
93201,220,93.37
93301,220,93.51
93401,220,93.51
93501,220,93.51
93601,220,93.65
93701,220,93.65
93801,220,93.79
93901,220,93.79
94001,220,93.93
94101,220,93.93
94201,220,93.93
94301,220,94.07
94401,220,94.07
94501,220,94.21
94601,220,94.21
94701,220,94.21
94801,220,94.35
94901,220,94.35
95001,220,94.49
95101,220,94.49
95201,220,94.63
95301,220,94.63
95401,220,94.77
95501,220,94.77
95601,220,94.91
95701,220,94.91
95801,220,94.91
95901,220,95.05
96001,220,95.05
96101,220,95.19
